dep_struct,%of_total,count
nsubj_nsubj_V_prt_prep,2.4504698775990296e-05,2
V_xcomp_prt,2.4504698775990296e-05,2
nsubj_V_prt_dobj_dobj,2.4504698775990296e-05,2
prep_nsubj_V_prt,2.4504698775990296e-05,2
nsubj_V_xcomp_prep_prep,2.4504698775990296e-05,2
V_ccomp_nsubj,2.4504698775990296e-05,2
ccomp_nsubj_V_prt_dobj,2.4504698775990296e-05,2
V_dobj_dobj_ccomp,2.4504698775990296e-05,2
nsubj_nsubj_V_dobj_prep,2.4504698775990296e-05,2
V_dative_dobj_xcomp,2.4504698775990296e-05,2
nsubj_prep_V_dobj_xcomp,2.4504698775990296e-05,2
prep_nsubj_V_prep_prep_prep,2.4504698775990296e-05,2
V_dative_dobj_ccomp,2.4504698775990296e-05,2
nsubj_V_dobj_prt_dative,2.4504698775990296e-05,2
dobj_V_prt_prep_prep,2.4504698775990296e-05,2
ccomp_prep_nsubj_V_dobj_prep,2.4504698775990296e-05,2
prep_nsubj_V_prt_prep_prep,2.4504698775990296e-05,2
ccomp_ccomp_ccomp_nsubj_V,1.2252349387995148e-05,1
dobj_V_prep_prep,1.2252349387995148e-05,1
V_prt_xcomp_prep_prep,1.2252349387995148e-05,1
dobj_nsubj_V_prep_ccomp,1.2252349387995148e-05,1
dobj_nsubj_V_prt_xcomp,1.2252349387995148e-05,1
ccomp_ccomp_prep_nsubj_V_dobj,1.2252349387995148e-05,1
V_pobj_prep,1.2252349387995148e-05,1
nsubj_ccomp_nsubj_V_dobj,1.2252349387995148e-05,1
nsubj_V_prep_ccomp_prep,1.2252349387995148e-05,1
ccomp_dobj_V,1.2252349387995148e-05,1
ccomp_nsubj_nsubj_nsubj_V_dobj_xcomp,1.2252349387995148e-05,1
prep_V_prep_dobj,1.2252349387995148e-05,1
ccomp_nsubj_V_ccomp_xcomp,1.2252349387995148e-05,1
xcomp_nsubj_V,1.2252349387995148e-05,1
V_ccomp_prep_ccomp,1.2252349387995148e-05,1
dobj_ccomp_nsubj_V,1.2252349387995148e-05,1
prep_nsubj_V_xcomp_ccomp,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_prep_ccomp,1.2252349387995148e-05,1
nsubj_V_dobj_prep_ccomp_ccomp,1.2252349387995148e-05,1
nsubj_V_prt_xcomp_prep,1.2252349387995148e-05,1
V_xcomp_prep_dobj,1.2252349387995148e-05,1
V_prt_ccomp_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_prep_V_ccomp,1.2252349387995148e-05,1
nsubj_V_prt_dobj_ccomp,1.2252349387995148e-05,1
nsubj_V_prt_prep_xcomp,1.2252349387995148e-05,1
prep_V_prt_dobj_prep,1.2252349387995148e-05,1
prep_ccomp_nsubj_V_ccomp,1.2252349387995148e-05,1
nsubj_V_dobj_ccomp_dobj_ccomp,1.2252349387995148e-05,1
nsubj_prep_prep_V_dobj,1.2252349387995148e-05,1
nsubj_V_dobj_dative_ccomp,1.2252349387995148e-05,1
V_prt_dobj_dative_prep,1.2252349387995148e-05,1
nsubj_prep_V_prep_dobj,1.2252349387995148e-05,1
dobj_V_nsubj_prep,1.2252349387995148e-05,1
prep_V_prep_ccomp,1.2252349387995148e-05,1
xcomp_nsubj_V_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_V_nsubj,1.2252349387995148e-05,1
nsubj_V_dative_xcomp,1.2252349387995148e-05,1
nsubj_V_xcomp_xcomp_ccomp,1.2252349387995148e-05,1
prep_prep_nsubj_V_dobj_prep,1.2252349387995148e-05,1
nsubj_V_dobj_dobj_dobj_ccomp,1.2252349387995148e-05,1
V_dobj_dative_dobj,1.2252349387995148e-05,1
ccomp_ccomp_ccomp_nsubj_V_xcomp,1.2252349387995148e-05,1
nsubj_nsubj_nsubj_V,1.2252349387995148e-05,1
V_nsubj_dobj,1.2252349387995148e-05,1
nsubj_nsubj_V_dobj_xcomp,1.2252349387995148e-05,1
pobj_nsubj_V_dobj_dative,1.2252349387995148e-05,1
ccomp_ccomp_ccomp_V_prt,1.2252349387995148e-05,1
dobj_nsubj_V_prt_dative,1.2252349387995148e-05,1
nsubj_V_nsubj_prep,1.2252349387995148e-05,1
nsubj_nsubj_V_prep_ccomp,1.2252349387995148e-05,1
ccomp_V_prt_prep,1.2252349387995148e-05,1
ccomp_V_ccomp_prep,1.2252349387995148e-05,1
ccomp_V_dobj_prep_prep_prep,1.2252349387995148e-05,1
pobj_nsubj_V_ccomp,1.2252349387995148e-05,1
nsubj_nsubj_V_prep_prep_prep,1.2252349387995148e-05,1
nsubj_prep_V_dobj_ccomp,1.2252349387995148e-05,1
nsubj_V_xcomp_prt_prep,1.2252349387995148e-05,1
nsubj_V_prep_xcomp_ccomp,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_prep_prep,1.2252349387995148e-05,1
prep_nsubj_V_dobj_dative,1.2252349387995148e-05,1
V_prep_dative,1.2252349387995148e-05,1
ccomp_V_prep_prep,1.2252349387995148e-05,1
nsubj_prep_V,1.2252349387995148e-05,1
V_dative_dative_dobj,1.2252349387995148e-05,1
ccomp_ccomp_ccomp_ccomp_ccomp_ccomp_ccomp_ccomp_nsubj_V_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_prep_prep,1.2252349387995148e-05,1
V_dobj_prt_prep_dobj,1.2252349387995148e-05,1
V_prep_prep_prep_prep,1.2252349387995148e-05,1
nsubj_nsubj_V_dative_dobj,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_dobj_xcomp,1.2252349387995148e-05,1
dative_nsubj_V_prt,1.2252349387995148e-05,1
prep_V_prep_prep,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_xcomp_xcomp,1.2252349387995148e-05,1
prep_prep_nsubj_V_prt_prep,1.2252349387995148e-05,1
V_nsubj_nsubj,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_dobj_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dative,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_ccomp_ccomp,1.2252349387995148e-05,1
nsubj_prep_V_dobj_prt_prep,1.2252349387995148e-05,1
ccomp_V_nsubj_prep,1.2252349387995148e-05,1
ccomp_ccomp_V_dobj,1.2252349387995148e-05,1
prep_nsubj_V_dobj_prep_ccomp,1.2252349387995148e-05,1
dobj_nsubj_V_prep_xcomp,1.2252349387995148e-05,1
ccomp_prep_V_dobj,1.2252349387995148e-05,1
ccomp_ccomp_V_dobj_ccomp,1.2252349387995148e-05,1
V_dobj_prt_dobj,1.2252349387995148e-05,1
nsubj_nsubj_V_dobj_prt_prep,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_prt_prep,1.2252349387995148e-05,1
nsubj_V_prep_prep_xcomp,1.2252349387995148e-05,1
prep_ccomp_nsubj_V_xcomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_dobj,1.2252349387995148e-05,1
ccomp_prep_prep_nsubj_V_ccomp,1.2252349387995148e-05,1
V_dative_prep_prep,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_dobj_dobj_dobj,1.2252349387995148e-05,1
nsubj_V_prt_dobj_xcomp,1.2252349387995148e-05,1
dative_nsubj_V_dobj_ccomp_ccomp,1.2252349387995148e-05,1
prep_ccomp_nsubj_V_dobj_prep,1.2252349387995148e-05,1
ccomp_nsubj_V_ccomp_ccomp_ccomp,1.2252349387995148e-05,1
nsubj_V_dobj_dobj_dobj_dobj_prep,1.2252349387995148e-05,1
nsubj_V_prt_prep_ccomp,1.2252349387995148e-05,1
nsubj_V_prep_prep_prep_dobj,1.2252349387995148e-05,1
prep_ccomp_V_ccomp,1.2252349387995148e-05,1
ccomp_dobj_nsubj_V,1.2252349387995148e-05,1
V_pobj_pobj_pobj,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_dobj_ccomp,1.2252349387995148e-05,1
prep_nsubj_V_prep_dobj_prep,1.2252349387995148e-05,1
prep_ccomp_nsubj_V_dobj,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_prep_ccomp,1.2252349387995148e-05,1
V_dative_dobj_prt,1.2252349387995148e-05,1
prep_V_dative_dobj,1.2252349387995148e-05,1
V_dobj_dative_xcomp,1.2252349387995148e-05,1
nsubj_V_dobj_prep_dative,1.2252349387995148e-05,1
V_ccomp_ccomp_prep,1.2252349387995148e-05,1
prep_prep_V_prep,1.2252349387995148e-05,1
V_dobj_prt_dobj_prep,1.2252349387995148e-05,1
nsubj_V_xcomp_xcomp_xcomp,1.2252349387995148e-05,1
ccomp_dobj_nsubj_V_ccomp,1.2252349387995148e-05,1
xcomp_nsubj_V_dobj,1.2252349387995148e-05,1
V_dobj_dobj_prep_dobj,1.2252349387995148e-05,1
V_dobj_prep_prep_ccomp,1.2252349387995148e-05,1
nsubj_V_dobj_prt_xcomp,1.2252349387995148e-05,1
ccomp_nsubj_prep_V_xcomp,1.2252349387995148e-05,1
prep_V_nsubj_prep,1.2252349387995148e-05,1
V_nsubj_prep,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_dobj_prep_ccomp,1.2252349387995148e-05,1
nsubj_V_prt_dobj_dative,1.2252349387995148e-05,1
nsubj_ccomp_nsubj_V_ccomp_dobj,1.2252349387995148e-05,1
ccomp_nsubj_V_dative_dobj_xcomp,1.2252349387995148e-05,1
V_dative_dative_ccomp,1.2252349387995148e-05,1
ccomp_ccomp_prep_nsubj_V_xcomp,1.2252349387995148e-05,1
nsubj_V_ccomp_xcomp_ccomp,1.2252349387995148e-05,1
prep_nsubj_V_dobj_dobj_prep,1.2252349387995148e-05,1
dobj_nsubj_V_dative_prep,1.2252349387995148e-05,1
V_dative_dobj_dobj_prep_prep,1.2252349387995148e-05,1
V_dobj_prt_dative,1.2252349387995148e-05,1
ccomp_nsubj_V_prep_xcomp,1.2252349387995148e-05,1
ccomp_V_dobj_xcomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_dative_dobj,1.2252349387995148e-05,1
prep_nsubj_V_dative_dobj_xcomp,1.2252349387995148e-05,1
nsubj_nsubj_nsubj_V_xcomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dative_dobj_dobj,1.2252349387995148e-05,1
dative_V_dobj_prt_prep,1.2252349387995148e-05,1
V_dobj_dobj_dobj_dobj_dobj,1.2252349387995148e-05,1
ccomp_prep_ccomp_nsubj_V_prep,1.2252349387995148e-05,1
V_prt_prep_ccomp,1.2252349387995148e-05,1
V_dobj_dobj_dobj_dobj,1.2252349387995148e-05,1
V_prep_ccomp_prep,1.2252349387995148e-05,1
prep_prep_V_ccomp,1.2252349387995148e-05,1
nsubj_V_dative_dobj_ccomp,1.2252349387995148e-05,1
dobj_dobj_V_prt,1.2252349387995148e-05,1
ccomp_ccomp_V_dobj_prt,1.2252349387995148e-05,1
V_dobj_ccomp_dobj,1.2252349387995148e-05,1
V_prt_dobj_dobj,1.2252349387995148e-05,1
prep_prep_nsubj_V_dobj_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_nsubj_V_xcomp,1.2252349387995148e-05,1
V_prt_prt_prep,1.2252349387995148e-05,1
ccomp_ccomp_V_ccomp,1.2252349387995148e-05,1
V_ccomp_ccomp_ccomp,1.2252349387995148e-05,1
nsubj_ccomp_ccomp_nsubj_V_dobj,1.2252349387995148e-05,1
V_dative_prep_xcomp,1.2252349387995148e-05,1
prep_V_prt_dobj_xcomp,1.2252349387995148e-05,1
ccomp_nsubj_V_dobj_prt_prep,1.2252349387995148e-05,1
V_prt_dobj_dobj_prep,1.2252349387995148e-05,1
V_prep_dobj_dobj,1.2252349387995148e-05,1
V_nsubj_ccomp_dobj_ccomp,1.2252349387995148e-05,1
prep_nsubj_prep_V_dobj,1.2252349387995148e-05,1
prep_ccomp_nsubj_V,1.2252349387995148e-05,1
nsubj_V_ccomp_ccomp_ccomp_ccomp,1.2252349387995148e-05,1
V_dobj_dobj_dobj_prep,1.2252349387995148e-05,1
nsubj_V_dobj_prt_ccomp,1.2252349387995148e-05,1
V_xcomp_xcomp_xcomp,1.2252349387995148e-05,1
V_dobj_dobj_prep_prep,1.2252349387995148e-05,1
V_dative_dobj_prep_prep,1.2252349387995148e-05,1
ccomp_prep_prep_nsubj_V_xcomp,1.2252349387995148e-05,1
nsubj_ccomp_nsubj_V_dobj_prep,1.2252349387995148e-05,1
nsubj_nsubj_nsubj_V_ccomp,1.2252349387995148e-05,1
nsubj_V_prt_dobj_prep_dobj,1.2252349387995148e-05,1
nsubj_prep_V_prt,1.2252349387995148e-05,1
prep_nsubj_nsubj_V_ccomp,1.2252349387995148e-05,1
nsubj_ccomp_nsubj_V,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_prt,1.2252349387995148e-05,1
nsubj_ccomp_V_prep,1.2252349387995148e-05,1
prep_nsubj_V_prt_dobj_xcomp,1.2252349387995148e-05,1
ccomp_V_prep_prep_prep,1.2252349387995148e-05,1
ccomp_V_pobj,1.2252349387995148e-05,1
V_prep_prep_dobj,1.2252349387995148e-05,1
ccomp_ccomp_nsubj_V_dobj_prt,1.2252349387995148e-05,1
nsubj_V_prt_dative,1.2252349387995148e-05,1
prep_nsubj_V_ccomp_xcomp,1.2252349387995148e-05,1
prep_ccomp_ccomp_nsubj_V_ccomp,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_prt_dobj_prep,1.2252349387995148e-05,1
nsubj_prep_V_dative_dobj,1.2252349387995148e-05,1
prep_nsubj_V_dative,1.2252349387995148e-05,1
nsubj_V_ccomp_prep_ccomp,1.2252349387995148e-05,1
ccomp_nsubj_V_prt_xcomp,1.2252349387995148e-05,1
V_ccomp_dobj_ccomp,1.2252349387995148e-05,1
nsubj_V_prep_prep_dobj,1.2252349387995148e-05,1
nsubj_V_dative_ccomp_dobj,1.2252349387995148e-05,1
ccomp_nsubj_V_xcomp_xcomp,1.2252349387995148e-05,1
ccomp_prep_nsubj_V_prep_prep,1.2252349387995148e-05,1
prep_nsubj_prep_V_xcomp,1.2252349387995148e-05,1
nsubj_V_ccomp_dative,1.2252349387995148e-05,1
V_xcomp_nsubj,1.2252349387995148e-05,1
pobj_nsubj_V,1.2252349387995148e-05,1
nsubj_V_xcomp_prep_ccomp,1.2252349387995148e-05,1
ccomp_prep_prep_nsubj_V_prep,1.2252349387995148e-05,1
dobj_V_dobj_xcomp,1.2252349387995148e-05,1
nsubj_V_dobj_dative_prep_prep,1.2252349387995148e-05,1
nsubj_V_ccomp_nsubj,1.2252349387995148e-05,1
dobj_prep_nsubj_V,1.2252349387995148e-05,1
